dataset_final	gene_final	event_final	p_final	q_final	sigma_c_final	IR_final	q_source_complete	q_recomputed
mESC	Gas5	ENSMUSG00000053332.16:chr1:+:160864390:160864422:160865565:160865607	5e-05	0.012325	0.0216372343299575	0.478006009552369	TRUE	0.012325
mESC	Nsd1	ENSMUSG00000021488.9:chr13:+:55361017:55361130:55361874:55361963	5e-05	0.012325	0.0474246664257903	0.3810515261106	TRUE	0.012325
mESC	Snhg15	ENSMUSG00000085156.11:chr11:-:6478306:6478374:6478548:6478750	5e-05	0.012325	0.0238477197954723	0.321105361252832	TRUE	0.012325
mESC	Srsf5	ENSMUSG00000021134.18:chr12:+:80994570:80994639:80995869:80995942	5e-05	0.012325	0.0533697052142269	0.157631862126278	TRUE	0.012325
mESC	Zfas1	ENSMUSG00000074578.17:chr2:+:166905556:166905647:166907354:166907400	5e-05	0.012325	0.047351810651722	0.0701913191656317	TRUE	0.012325
mESC	5430416N02Rik	ENSMUSG00000097772.10:chr5:-:100574595:100574663:100576956:100577097	5e-05	0.012325	0.0141639555637975	0.0326950495074561	TRUE	0.012325
mESC	N4bp1	ENSMUSG00000031652.12:chr8:-:87573443:87573550:87575075:87575182	5e-05	0.012325	0.157253463267082	0.0249478593994106	TRUE	0.012325
mESC	Snhg12	ENSMUSG00000086290.12:chr4:+:132035987:132036932:132037149:132037214	5e-05	0.012325	0.00852620572411945	0.0149115632038213	TRUE	0.012325
mESC	Ppp1r36dn	ENSMUSG00000073000.5:chr12:+:76494749:76494927:76496485:76497292	1e-04	0.01972	0.0189922953788624	0.535081812051301	TRUE	0.01972
mESC	Snhg12	ENSMUSG00000086290.12:chr4:+:132035987:132036218:132037149:132037214	1e-04	0.01972	0.0475919371678103	0.00676316836573933	TRUE	0.01972
mESC	Mis18bp1	ENSMUSG00000047534.18:chr12:-:65199462:65199604:65200580:65200667	0.00015	0.02465	0.206783879618991	0.405975839410094	TRUE	0.02465
mESC	Mettl25b	ENSMUSG00000004896.17:chr3:-:87834870:87835022:87835231:87835355	0.00015	0.02465	0.0153612008095351	0.193260510451714	TRUE	0.02465
mESC	Hnrnpm	ENSMUSG00000059208.16:chr17:-:33885468:33885503:33885621:33885659	2e-04	0.0303384615384615	0.00174948967729915	0.128694957382139	TRUE	0.0303384615384615
mESC	Mrps17	ENSMUSG00000034211.15:chr5:+:129792748:129792974:129793791:129793930	0.00025	0.0352142857142857	0.0641374565426861	0.166541580766644	TRUE	0.0352142857142857
mESC	Phf12	ENSMUSG00000037791.16:chr11:+:77915639:77915755:77915850:77915912	0.00045	0.0547777777777778	0.00472359362852249	0.347272335021339	TRUE	0.0547777777777778
mESC	Rpl9	ENSMUSG00000047215.15:chr5:-:65545707:65545784:65546414:65546494	0.00045	0.0547777777777778	0.00185321053191102	0.031932820006443	TRUE	0.0547777777777778
mESC	Zscan10	ENSMUSG00000023902.19:chr17:+:23828241:23828440:23828537:23828671	5e-04	0.0547777777777778	0.00891408450698674	0.190336437202591	TRUE	0.0547777777777778
mESC	Metap2	ENSMUSG00000036112.16:chr10:-:93715402:93715504:93715935:93716000	5e-04	0.0547777777777778	0.0117783792452061	0.00468013085803275	TRUE	0.0547777777777778
mESC	Cdc7	ENSMUSG00000029283.18:chr5:+:107122467:107122562:107123351:107123526	6e-04	0.05916	0.0664814490928651	0.0639960338213946	TRUE	0.05916
mESC	Phf12	ENSMUSG00000037791.16:chr11:+:77915639:77915693:77915787:77915912	6e-04	0.05916	0.015096849503088	0.0387264712599206	TRUE	0.05916
mESC	Clasrp	ENSMUSG00000061028.8:chr7:-:19318395:19318455:19318709:19318748	0.00065	0.0610380952380952	0.0562473990543858	0.0121108000503427	TRUE	0.0610380952380952
mESC	Mau2	ENSMUSG00000031858.18:chr8:-:70481269:70481424:70481858:70481885	7e-04	0.0627454545454546	0.186570440895232	0.13780570473704	TRUE	0.0627454545454546
mESC	Actr5	ENSMUSG00000037761.17:chr2:+:158477227:158477346:158477947:158478067	0.00075	0.064304347826087	0.0418604055671669	0.331120016969807	TRUE	0.064304347826087
mESC	Snhg5	ENSMUSG00000097195.13:chr9:-:88403971:88404028:88404904:88404944	9e-04	0.07395	0.00808435412300667	0.0994964333021781	TRUE	0.07395
mESC	Ipo7	ENSMUSG00000066232.5:chr7:+:109648152:109648277:109648803:109648900	0.00105	0.082824	0.0383315631108726	0.00325720264521536	TRUE	0.082824
mESC	Inpp5d	ENSMUSG00000026288.15:chr1:+:87642760:87642815:87642999:87643035	0.0011	0.0834307692307692	0.0212237755817238	0.291823864202358	TRUE	0.0834307692307692
mESC	Mat2a	ENSMUSG00000053907.11:chr6:-:72409782:72411378:72411964:72412097	0.0012	0.0876444444444445	0.0340617282414696	0.0536877281809587	TRUE	0.0876444444444445
mESC	Fam133b	ENSMUSG00000058503.12:chr5:+:3608661:3608693:3609138:3609159	0.00135	0.0950785714285714	0.00346383412930101	0.32598278154646	TRUE	0.0950785714285714
